id,prospect_id,applicant,full_name,first_name,last_name,birthdate,email_address,inquiry_source,date_first_prospect,prospect_academic_term,date_first_inquire,inquiry_academic_term,prospect_source,hs_name,school_type,feeder_engagement,socal_expansion
,3977661,,Jason Rhodes,Jason,Rhodes,8/27/08,jason.rhodes@email.com,,8/16/24,202540,,,college board,San Jose High School,,,
,3701212,,Jeremy Mitchell,Jeremy,Mitchell,6/30/07,jeremy.mitchell@email.com,high school visit,7/5/24,202540,10/20/24,202540,college board,San Diego Charter High School,,,
,3967661,3967661,Pranav Kumar,Pranav,Kumar,2/13/06,pranav.kumar@email.com,college board,5/14/24,202540,5/17/24,202540,college board,Delhi Public School R.K. Puram,,,
,3013767,3013767,Sakura Kobayashi,Sakura,Kobayashi,12/19/08,sakura.kobayashi@email.com,,7/9/24,202540,,,campus visit,Tokyo Metropolitan Kokusai High School,,,
,3394429,,Bo Wang,Bo,Wang,12/26/08,bo.wang@email.com,campus visit,6/24/24,202540,9/29/24,202540,social media,Beijing No. 4 High School,,,
,3701211,3701211,Robert Harrison,Robert,Harrison,3/19/08,robert.harrison@email.com,social media,7/4/24,202540,10/17/24,202540,college board,Galileo Academy of Science and Technology,,,
,3446556,,Holly Valentine,Holly,Valentine,10/4/06,holly.valentine@email.com,,6/28/24,202540,,,email,Northern Secondary School,,,
,3333837,3333837,Chen Jie,Chen,Jie,5/15/06,chen.jie@email.com,social media,8/8/24,202540,10/28/24,202540,college board,Beijing No. 4 High School,,,
,3887746,,Mrs. Diane Reyes,Diane,Reyes,4/23/06,diane.reyes@email.com,,8/14/24,202540,,,email,Lane Tech College Prep,,,
,3014767,3014767,Tracy Montoya,Tracy,Montoya,3/29/07,tracy.montoya@email.com,college fair,5/23/24,202540,6/30/24,202540,college board,Bakersfield High School,,,
,3585380,,Brenda Wright,Brenda,Wright,5/8/06,brenda.wright@email.com,high school visit,5/10/24,202540,5/22/24,202540,college fair,Dallas Science and Engineering Magnet,,,
,3840015,,Shelly Spencer,Shelly,Spencer,3/31/07,shelly.spencer@email.com,,8/20/24,202540,,,college fair,San Jose High School,,,
,3734138,,Ryan Rosales,Ryan,Rosales,2/20/06,ryan.rosales@email.com,,5/16/24,202540,,,social media,Sydney Boys High School,,,
,3234276,,Phillip Nelson,Phillip,Nelson,11/6/07,phillip.nelson@email.com,campus visit,5/25/24,202540,6/16/24,202540,campus visit,San Jose High School,,,
,3541361,,Brittany Kim,Brittany,Kim,8/30/08,brittany.kim@email.com,high school visit,7/4/24,202540,8/23/24,202540,campus visit,Northern Secondary School,,,
,3431201,,Courtney Hayes,Courtney,Hayes,4/19/06,courtney.hayes@email.com,,7/13/24,202540,,,email,Anaheim High School,,,
,3681501,,Alexander Brown,Alexander,Brown,7/30/08,alexander.brown@email.com,,6/5/24,202540,,,email,Oakland Technical High School,,,
,3736396,,Cynthia Vang,Cynthia,Vang,1/10/07,cynthia.vang@email.com,high school visit,5/6/24,202540,5/24/24,202540,social media,Bakersfield High School,,,
,3394419,3394419,Hugo Bernard,Hugo,Bernard,4/19/06,hugo.bernard@email.com,college fair,6/25/24,202540,9/21/24,202540,college board,Lycee Louis-le-Grand,,,
,3209139,,Alfred Galvan,Alfred,Galvan,3/19/08,alfred.galvan@email.com,,6/24/24,202540,,,college board,Northern Secondary School,,,
,3257454,,Marie Moody,Marie,Moody,10/15/06,marie.moody@email.com,,6/15/24,202540,,,social media,Paxon School for Advanced Studies,,,
,3042718,,Dustin Gallegos,Dustin,Gallegos,8/29/08,dustin.gallegos@email.com,,8/27/24,202540,,,college fair,Lane Tech College Prep,,,
,3580747,,Aiko Tanaka,Aiko,Tanaka,4/5/07,aiko.tanaka@email.com,college fair,7/22/24,202540,10/16/24,202540,campus visit,Tokyo Metropolitan Kokusai High School,,,
,3293580,,Brenda Thornton,Brenda,Thornton,10/28/07,brenda.thornton@email.com,high school visit,6/12/24,202540,6/29/24,202540,college fair,The London Oratory School,,,
,3152526,3152526,Aaron Miller,Aaron,Miller,3/25/06,aaron.miller@email.com,email,6/22/24,202540,7/3/24,202540,campus visit,Austin High School,,,
