id,prospect_id,applicant,full_name,first_name,last_name,birthdate,email_address,inquiry_source,date_first_prospect,prospect_academic_term,date_first_inquire,inquiry_academic_term,prospect_source,hs_name,school_type,feeder_engagement,socal_expansion
,3606926,,Sophia Watson,Sophia,Watson,12/27/06,sophia.watson@email.com,college board,9/19/24,202440,8/26/24,202440,email,Bellaire High School,,,
,3179882,,Sophie Koch,Sophie,Koch,6/14/07,sophie.koch@email.com,college fair,3/29/24,202540,3/30/24,202540,college board,Lycee Louis-le-Grand,,,
,3899073,,Amelia Scott,Amelia,Scott,2/27/06,amelia.scott@email.com,college fair,8/3/24,202440,8/13/24,202440,college board,Beijing No. 4 High School,,,
,3127453,3127453,Arjun Malhotra,Arjun,Malhotra,5/17/08,arjun.malhotra@email.com,campus visit,8/20/24,202440,8/31/24,202440,campus visit,Rocklin High School,,,
,3591460,3591460,Daniel Lee,Daniel,Lee,10/1/08,daniel.lee@email.com,high school visit,10/17/24,202440,10/4/24,202440,campus visit,San Diego Charter High School,,,
,3280157,,Charlotte Ntuli,Charlotte,Ntuli,2/24/06,charlotte.ntuli@email.com,email,2/2/24,202540,1/9/24,202540,email,Beijing No. 4 High School,,,
,3290535,,Eduardo Fernandes,Eduardo,Fernandes,10/4/08,eduardo.fernandes@email.com,social media,10/5/24,202440,10/7/24,202440,college board,Rocklin High School,,,
,3898752,3898752,Richard Thompson,Richard,Thompson,8/17/07,richard.thompson@email.com,social media,8/23/24,202440,8/30/24,202440,email,Lycee Louis-le-Grand,,,
,3615858,3615858,Lily Morgan,Lily,Morgan,11/12/08,lily.morgan@email.com,college fair,8/17/24,202440,8/7/24,202440,college board,Beijing No. 4 High School,,,
,3774056,3774056,Jacob Williams,Jacob,Williams,6/27/08,jacob.williams@email.com,high school visit,1/6/24,202540,1/15/24,202540,college fair,Beijing No. 4 High School,,,
,3832268,,Léo Morel,Léo,Morel,4/24/08,léo.morel@email.com,campus visit,1/3/24,202540,1/26/24,202540,college board,San Jose High School,,,
,3721342,3721342,Huang Chen,Huang,Chen,4/18/07,huang.chen@email.com,high school visit,11/12/24,202440,9/28/24,202440,campus visit,Beijing No. 4 High School,,,
,3226445,,Jack Taylor,Jack,Taylor,3/21/08,jack.taylor@email.com,campus visit,12/30/24,202440,12/20/24,202440,email,The London Oratory School,,,
,3340677,,João Ribeiro,João,Ribeiro,10/10/07,joão.ribeiro@email.com,social media,9/5/24,202440,8/21/24,202440,social media,Bellaire High School,,,
,3190801,3190801,Jing Liang,Jing,Liang,11/4/07,jing.liang@email.com,email,5/6/24,202540,5/17/24,202540,email,Beijing No. 4 High School,,,
,3808739,,Sophia Maseko,Sophia,Maseko,2/18/07,sophia.maseko@email.com,social media,7/25/24,202540,6/21/24,202540,college board,Los Angeles Center for Enriched Studies,,,
,3173638,,Noriko Tanaka,Noriko,Tanaka,12/20/06,noriko.tanaka@email.com,college board,7/3/24,202540,5/18/24,202540,email,Tokyo Metropolitan Kokusai High School,,,
,3789731,3789731,Aisha Mukherjee,Aisha,Mukherjee,8/25/08,aisha.mukherjee@email.com,email,11/19/24,202440,12/1/24,202440,email,Bellaire High School,,,
,3817000,,Ashley Van Wyk,Ashley,Van Wyk,8/21/06,ashley.van wyk@email.com,high school visit,6/21/24,202540,5/8/24,202540,college board,Bakersfield High School,,,
,3917114,,Vivaan Reddy,Vivaan,Reddy,4/14/07,vivaan.reddy@email.com,high school visit,6/7/24,202540,4/13/24,202540,college fair,Dallas Science and Engineering Magnet,,,
,3271499,,Ananya Kaur,Ananya,Kaur,7/3/06,ananya.kaur@email.com,college fair,6/16/24,202540,4/29/24,202540,college fair,Delhi Public School R.K. Puram,,,
,3253400,,Leo Young,Leo,Young,8/17/07,leo.young@email.com,email,8/17/24,202440,8/17/24,202440,campus visit,C.K. McClatchy High School,,,
,3791355,3791355,Lucas Melo,Lucas,Melo,6/24/08,lucas.melo@email.com,campus visit,1/3/24,202540,1/28/24,202540,email,Lycee Louis-le-Grand,,,
,3311773,,Leon Zimmermann,Leon,Zimmermann,4/11/08,leon.zimmermann@email.com,social media,1/30/24,202540,1/17/24,202540,college board,Fresno High School,,,
,3794738,,Alice Fournier,Alice,Fournier,10/6/08,alice.fournier@email.com,campus visit,3/5/24,202540,3/25/24,202540,college board,Beijing No. 4 High School,,,
,3677593,3677593,Ruth Thompson,Ruth,Thompson,3/1/07,ruth.thompson@email.com,campus visit,10/22/24,202440,8/27/24,202440,email,Bellaire High School,,,
,3685615,,Seo-jun Jang,Seo-jun,Jang,2/18/06,seo-jun.jang@email.com,email,1/14/24,202540,2/2/24,202540,email,San Diego Charter High School,,,
,3569319,3569319,Vanessa Lima,Vanessa,Lima,11/24/08,vanessa.lima@email.com,email,6/4/24,202540,5/25/24,202540,college board,Beijing No. 4 High School,,,
,3141016,3141016,Valérie Rousseau,Valérie,Rousseau,3/23/06,valérie.rousseau@email.com,email,8/22/24,202440,8/18/24,202440,campus visit,Lane Tech College Prep,,,
,3745090,3745090,Brigitte Werner,Brigitte,Werner,7/21/08,brigitte.werner@email.com,social media,1/26/24,202540,1/15/24,202540,email,Phoenix Union Bioscience High School,,,
,3475814,3475814,Ichiro Hayashi,Ichiro,Hayashi,8/13/07,ichiro.hayashi@email.com,campus visit,8/10/24,202440,8/10/24,202440,college board,Paxon School for Advanced Studies,,,
,3175592,,Valérie Roux,Valérie,Roux,4/11/06,valérie.roux@email.com,college fair,1/7/24,202540,1/14/24,202540,college fair,Galileo Academy of Science and Technology,,,
,3033402,,Tomoko Suzuki,Tomoko,Suzuki,6/2/08,tomoko.suzuki@email.com,social media,11/22/24,202440,10/2/24,202440,social media,Tokyo Metropolitan Kokusai High School,,,
,3689030,,Klaus Schäfer,Klaus,Schäfer,12/3/06,klaus.schäfer@email.com,college board,3/16/24,202540,3/18/24,202540,email,Stuyvesant High School,,,
,3830221,3830221,Harper Wilson,Harper,Wilson,3/25/07,harper.wilson@email.com,college board,1/2/24,202540,1/28/24,202540,college board,Sydney Boys High School,,,
,3985001,,Min-woo Jung,Min-woo,Jung,4/6/07,min-woo.jung@email.com,campus visit,2/27/24,202540,1/17/24,202540,campus visit,Bakersfield High School,,,
,3525024,3525024,Eiko Fujita,Eiko,Fujita,11/24/08,eiko.fujita@email.com,college board,11/2/24,202440,11/5/24,202440,campus visit,Anaheim High School,,,
,3817876,,Ava Walker,Ava,Walker,3/18/07,ava.walker@email.com,social media,5/8/24,202540,5/22/24,202540,college board,Sydney Boys High School,,,
,3362127,,Henry Van der Merwe,Henry,Van der Merwe,2/28/08,henry.van der merwe@email.com,campus visit,10/28/24,202440,9/1/24,202440,campus visit,Rondebosch Boys High School,,,
,3210222,,Leon Koch,Leon,Koch,8/14/08,leon.koch@email.com,social media,7/18/24,202540,7/12/24,202540,email,Lane Tech College Prep,,,
,3745601,,Joon-woo Bae,Joon-woo,Bae,9/18/07,joon-woo.bae@email.com,high school visit,7/2/24,202540,6/28/24,202540,college board,Oakland Technical High School,,,
,3094994,,Victoria Morgan,Victoria,Morgan,2/21/07,victoria.morgan@email.com,campus visit,4/18/24,202540,4/23/24,202540,campus visit,Folsom High School,,,
,3103015,3103015,Noah Scott,Noah,Scott,7/9/06,noah.scott@email.com,college board,1/9/24,202540,1/23/24,202540,email,Sydney Boys High School,,,
,3974578,,Pedro Alves,Pedro,Alves,12/9/08,pedro.alves@email.com,social media,5/14/24,202540,3/26/24,202540,college board,Bellaire High School,,,
,3880409,,Olivia Jackson,Olivia,Jackson,1/12/08,olivia.jackson@email.com,social media,4/26/24,202540,3/20/24,202540,email,Beijing No. 4 High School,,,
,3509970,3509970,Gang Hu,Gang,Hu,7/4/06,gang.hu@email.com,campus visit,12/8/24,202440,12/17/24,202440,campus visit,Los Angeles Center for Enriched Studies,,,
,3330348,,Stefan Schmitz,Stefan,Schmitz,4/28/06,stefan.schmitz@email.com,email,8/4/24,202440,8/3/24,202440,campus visit,Paxon School for Advanced Studies,,,
,3350937,,Aaradhya Saxena,Aaradhya,Saxena,2/17/06,aaradhya.saxena@email.com,social media,1/19/24,202540,2/11/24,202540,college board,Fresno High School,,,
,3481927,,Audrey Roux,Audrey,Roux,4/14/07,audrey.roux@email.com,campus visit,2/17/24,202540,1/30/24,202540,email,Fresno High School,,,
,3877624,,Olivia Thomas,Olivia,Thomas,1/5/07,olivia.thomas@email.com,email,3/6/24,202540,2/28/24,202540,campus visit,Beijing No. 4 High School,,,
,3462674,,Jonas Schwarz,Jonas,Schwarz,5/11/06,jonas.schwarz@email.com,email,10/11/24,202440,9/4/24,202440,college board,Heinrich-Hertz-Gymnasium,,,
,3046699,3046699,Pedro Barbosa,Pedro,Barbosa,1/20/07,pedro.barbosa@email.com,college board,3/12/24,202540,3/10/24,202540,campus visit,Beijing No. 4 High School,,,
,3060694,,Pratik Trivedi,Pratik,Trivedi,1/14/08,pratik.trivedi@email.com,college fair,8/31/24,202440,8/17/24,202440,college fair,Delhi Public School R.K. Puram,,,
,3135882,,Steven Lewis,Steven,Lewis,2/15/08,steven.lewis@email.com,social media,3/15/24,202540,4/10/24,202540,social media,Anaheim High School,,,
,3388686,3388686,Amanda Cardoso,Amanda,Cardoso,11/2/07,amanda.cardoso@email.com,college board,2/9/24,202540,1/19/24,202540,campus visit,Dallas Science and Engineering Magnet,,,
,3667448,3667448,Akiko Watanabe,Akiko,Watanabe,11/7/08,akiko.watanabe@email.com,college board,9/1/24,202440,8/5/24,202440,college board,Tokyo Metropolitan Kokusai High School,,,
,3595004,,Aaradhya Nair,Aaradhya,Nair,8/3/06,aaradhya.nair@email.com,email,5/17/24,202540,4/23/24,202540,email,Rocklin High School,,,
,3005707,,William Wright,William,Wright,1/8/08,william.wright@email.com,campus visit,1/27/24,202540,1/27/24,202540,college board,Beijing No. 4 High School,,,
,3769265,,Yang Jin,Yang,Jin,7/11/08,yang.jin@email.com,email,5/11/24,202540,5/15/24,202540,college board,Beijing No. 4 High School,,,
,3042136,,Sébastien Bertrand,Sébastien,Bertrand,11/7/08,sébastien.bertrand@email.com,high school visit,8/19/24,202440,8/23/24,202440,college board,Folsom High School,,,
,3200083,,Isabelle Martinez,Isabelle,Martinez,2/13/06,isabelle.martinez@email.com,email,11/14/24,202440,11/7/24,202440,college board,Lycee Louis-le-Grand,,,
,3095740,,Evelyn Moore,Evelyn,Moore,4/17/08,evelyn.moore@email.com,high school visit,10/9/24,202440,10/11/24,202440,campus visit,Phoenix Union Bioscience High School,,,
,3151101,,Thomas Schmidt,Thomas,Schmidt,3/5/06,thomas.schmidt@email.com,email,12/15/24,202440,12/27/24,202440,college board,Lycee Louis-le-Grand,,,
,3847789,,Emily Walker,Emily,Walker,6/10/08,emily.walker@email.com,high school visit,5/29/24,202540,6/22/24,202540,college board,Fresno High School,,,
,3972548,,Henry Taylor,Henry,Taylor,12/14/07,henry.taylor@email.com,campus visit,6/24/24,202540,4/27/24,202540,campus visit,The London Oratory School,,,
,3528340,,Amelia Taylor,Amelia,Taylor,4/20/06,amelia.taylor@email.com,high school visit,2/8/24,202540,2/28/24,202540,campus visit,Beijing No. 4 High School,,,
,3450444,3450444,Nicole Molewa,Nicole,Molewa,4/25/08,nicole.molewa@email.com,high school visit,12/27/24,202440,12/20/24,202440,college board,San Jose High School,,,
,3791380,,Fang Xie,Fang,Xie,12/3/07,fang.xie@email.com,social media,6/4/24,202540,6/7/24,202540,college board,Stuyvesant High School,,,
,3574586,,Scarlett Thomas,Scarlett,Thomas,4/8/06,scarlett.thomas@email.com,email,4/21/24,202540,2/27/24,202540,email,Lycee Louis-le-Grand,,,
,3388682,,Yu Pan,Yu,Pan,5/19/07,yu.pan@email.com,high school visit,6/2/24,202540,6/10/24,202540,campus visit,Los Angeles Center for Enriched Studies,,,
,3601607,,Cristina Duarte,Cristina,Duarte,3/22/06,cristina.duarte@email.com,college board,6/24/24,202540,5/3/24,202540,email,Central High School,,,
,3779757,3779757,William Torres,William,Torres,10/2/08,william.torres@email.com,high school visit,5/24/24,202540,4/14/24,202540,college fair,Beijing No. 4 High School,,,
,3026007,3026007,Jun Pan,Jun,Pan,3/22/08,jun.pan@email.com,college board,1/10/24,202540,1/7/24,202540,campus visit,Central High School,,,
,3270161,,Liam Van der Walt,Liam,Van der Walt,1/22/08,liam.van der walt@email.com,college fair,8/23/24,202440,8/31/24,202440,college board,Beijing No. 4 High School,,,
,3781777,,Ronald Flores,Ronald,Flores,3/20/08,ronald.flores@email.com,high school visit,2/24/24,202540,1/22/24,202540,campus visit,Bakersfield High School,,,
,3093204,3093204,Bo Xia,Bo,Xia,3/7/06,bo.xia@email.com,campus visit,7/17/24,202540,7/28/24,202540,campus visit,Beijing No. 4 High School,,,
,3212944,,Harry Morris,Harry,Morris,10/11/06,harry.morris@email.com,high school visit,8/17/24,202440,9/6/24,202440,college board,C.K. McClatchy High School,,,
,3225773,3225773,Amelia Morgan,Amelia,Morgan,6/20/08,amelia.morgan@email.com,high school visit,5/24/24,202540,4/17/24,202540,college fair,Beijing No. 4 High School,,,
,3041004,,Fernanda Duarte,Fernanda,Duarte,10/6/07,fernanda.duarte@email.com,college fair,11/2/24,202440,11/17/24,202440,campus visit,Austin High School,,,
,3090229,,Benjamin Cooper,Benjamin,Cooper,1/1/07,benjamin.cooper@email.com,campus visit,6/8/24,202540,6/10/24,202540,email,Austin High School,,,
,3547929,,Hyun-woo Lee,Hyun-woo,Lee,9/17/06,hyun-woo.lee@email.com,college fair,12/12/24,202440,12/9/24,202440,campus visit,Austin High School,,,
